ID,LevelFormat,TrueXPCost,TrueMaterial1,TrueMaterialCount1,TrueMaterial2,TrueMaterialCount2,TrueMaterial3,TrueMaterialCount3,TrueMaterial4,TrueMaterialCount4,TrueMaterial5,TrueMaterialCount5,TalentNP,UltraXPCost,UltraMaterial1,UltraMaterialCount1,UltraMaterial2,UltraMaterialCount2,UltraMaterial3,UltraMaterialCount3,UltraMaterial4,UltraMaterialCount4,UltraMaterial5,UltraMaterialCount5,UltraTalentNP
100,Advent,,,,,,,,,,,,,,,,,,,,,,,,
101,BadCollab,,,,,,,,,,,,,,,,,,,,,,,,
102,RedMarron,,,,,,,,,,,,,,,,,,,,,,,,
103,Cabaret,,,,,,,,,,,,,,,,,,,,,,,,
104,Advent,,,,,,,,,,,,,,,,,,,,,,,,
105,,1000000,green_fruit,3,purple_fruit,6,red_fruit,6,blue_fruit,2,epic_fruit,3,235-175-100-175-175,,,,,,,,,,,,225-150-150
106,,1000000,green_fruit,7,purple_fruit,4,blue_fruit,3,yellow_fruit,3,epic_fruit,3,235-175-175-175-175,,,,,,,,,,,,150-150-225
107,,1000000,green_fruit,7,red_fruit,4,blue_fruit,3,yellow_fruit,3,epic_fruit,3,175-175-175-175-175,,,,,,,,,,,,225-150-285
108,Serial,,,,,,,,,,,,,,,,,,,,,,,,
109,,,,,,,,,,,,,,,,,,,,,,,,,
110,,,,,,,,,,,,,,,,,,,,,,,,,
111,,200000,purple_seed,2,blue_seed,1,green_seed,1,,,,,,,,,,,,,,,,,
112,,,,,,,,,,,,,,,,,,,,,,,,,
113,,,,,,,,,,,,,,,,,,,,,,,,,
114,,,,,,,,,,,,,,,,,,,,,,,,,
115,,,,,,,,,,,,,,,,,,,,,,,,,
116,,,,,,,,,,,,,,,,,,,,,,,,,
117,,,,,,,,,,,,,,,,,,,,,,,,,
118,,,,,,,,,,,,,,,,,,,,,,,,,
119,,1000000,purple_fruit,3,blue_fruit,3,epic_fruit,6,,,,,,,,,,,,,,,,,
120,BadCollab,,,,,,,,,,,,,,,,,,,,,,,,
121,BadCollab,,,,,,,,,,,,,,,,,,,,,,,,
122,Advent,,,,,,,,,,,,,,,,,,,,,,,,
123,Advent,200000,red_seed,3,red_fruit,3,red_stone,1,,,,,,,,,,,,,,,,,
124,,1000000,purple_fruit,6,red_fruit,6,blue_fruit,3,yellow_fruit,3,epic_fruit,3,175-175-100-175-175,,,,,,,,,,,,285
125,,1000000,green_fruit,3,purple_fruit,6,red_fruit,3,blue_fruit,6,epic_fruit,3,235-100-175-175-175,,,,,,,,,,,,150-150-150
126,,,,,,,,,,,,,,,,,,,,,,,,,
127,,,,,,,,,,,,,,,,,,,,,,,,,
128,Advent,,,,,,,,,,,,,,,,,,,,,,,,
129,Cat,500000,gold_fruit,1,aku_fruit,3,,,,,,,,,,,,,,,,,,,
130,UR,1000000,green_seed,5,purple_seed,5,blue_seed,5,yellow_seed,5,elder_fruit,1,,,,,,,,,,,,,
131,,,,,,,,,,,,,,,,,,,,,,,,,
132,KungFuX,,,,,,,,,,,,,,,,,,,,,,,,
133,,,,,,,,,,,,,,,,,,,,,,,,,
134,,1000000,purple_fruit,7,red_fruit,2,blue_fruit,3,yellow_fruit,7,epic_fruit,4,235-175-175-175-175,,,,,,,,,,,,225-285-150
135,,1000000,yellow_fruit,30,epic_fruit,10,,,,,,,100-235-100-175-175,2000000,yellow_stone,10,yellow_fruit,10,,,,,,,
136,,1000000,green_fruit,2,red_fruit,7,blue_fruit,3,yellow_fruit,7,epic_fruit,4,235-175-175-175-175,,,,,,,,,,,,285-150-285
137,,1000000,green_fruit,2,purple_fruit,7,red_fruit,3,yellow_fruit,7,epic_fruit,4,100-100-175-175-175,2000000,green_gem,2,red_stone,5,purple_stone,5,gold_fruit,1,,,
138,,1000000,green_fruit,3,red_fruit,3,blue_fruit,5,yellow_fruit,7,epic_fruit,3,235-175-175-175-175,2000000,yellow_gem,1,red_stone,5,purple_stone,5,epic_fruit,2,,,
139,Borger,,,,,,,,,,,,,,,,,,,,,,,,
140,Serial,,,,,,,,,,,,,,,,,,,,,,,,
141,Serial,,,,,,,,,,,,,,,,,,,,,,,,
142,Serial,,,,,,,,,,,,,,,,,,,,,,,,
143,,1000000,green_fruit,6,purple_fruit,6,red_fruit,3,blue_fruit,3,epic_fruit,3,175-175-100-175-175,,,,,,,,,,,,150-285-225
144,,500000,purple_seed,1,epic_fruit,5,,,,,,,,,,,,,,,,,,,
145,,200000,green_seed,1,red_seed,2,blue_seed,3,yellow_seed,2,purple_fruit,2,75-50-75-75-75,,,,,,,,,,,,
146,,200000,green_seed,3,purple_seed,1,red_seed,2,blue_seed,2,yellow_fruit,2,95-50-75-75-75,,,,,,,,,,,,
147,,200000,green_seed,3,red_seed,2,blue_seed,2,yellow_seed,1,purple_fruit,2,95-50-75-75-75,,,,,,,,,,,,
148,,200000,green_seed,3,purple_seed,2,red_seed,2,blue_seed,1,yellow_fruit,2,75-75-75-75-75,,,,,,,,,,,,
149,,200000,purple_seed,2,red_seed,3,blue_seed,1,yellow_seed,2,green_fruit,2,75-50-75-75-75,,,,,,,,,,,,
150,,500000,purple_fruit,1,red_fruit,2,blue_fruit,1,yellow_fruit,4,epic_fruit,1,125-125-125-125-125,,,,,,,,,,,,
151,,500000,green_fruit,1,purple_fruit,4,red_fruit,1,blue_fruit,2,epic_fruit,1,165-165-125-125-125,,,,,,,,,,,,
152,,500000,purple_fruit,2,red_fruit,2,blue_fruit,2,yellow_fruit,2,elder_fruit,1,165-75-125-125-125,,,,,,,,,,,,
153,,500000,green_fruit,2,red_fruit,1,blue_fruit,1,yellow_fruit,4,epic_fruit,1,125-75-125-125-125,,,,,,,,,,,,
154,,,,,,,,,,,,,,,,,,,,,,,,,
155,GachaRare,,,,,,,,,,,,,,,,,,,,,,,,
156,,,,,,,,,,,,,,,,,,,,,,,,,
157,BadCollab,,,,,,,,,,,,,,,,,,,,,,,,
158,,1000000,purple_fruit,7,red_fruit,4,blue_fruit,3,yellow_fruit,4,epic_fruit,3,100-100-175-175-175,2000000,yellow_gem,1,blue_stone,3,purple_stone,5,purple_fruit,3,,,
159,,1000000,green_fruit,4,purple_fruit,3,red_fruit,4,yellow_fruit,7,epic_fruit,3,235-100-175-175-175,,,,,,,,,,,,
160,,500000,yellow_fruit,3,,,,,,,,,,,,,,,,,,,,,
161,,1000000,epic_fruit,3,,,,,,,,,100-100-100-175-175,,,,,,,,,,,,
162,BadCollab,,,,,,,,,,,,,,,,,,,,,,,,
163,BadCollab,,,,,,,,,,,,,,,,,,,,,,,,
164,BadCollab,,,,,,,,,,,,,,,,,,,,,,,,
165,BadCollab,,,,,,,,,,,,,,,,,,,,,,,,
166,BadCollab,,,,,,,,,,,,,,,,,,,,,,,,
167,Evil,,,,,,,,,,,,,,,,,,,,,,,,
168,,1000000,green_fruit,5,purple_fruit,6,blue_fruit,5,yellow_fruit,5,epic_fruit,2,175-235-235-175-175,,,,,,,,,,,,
169,,1000000,green_fruit,6,purple_fruit,5,red_fruit,5,blue_fruit,5,epic_fruit,2,285-100-175-175-175,,,,,,,,,,,,
170,,1000000,green_fruit,5,red_fruit,4,blue_fruit,4,yellow_fruit,4,epic_fruit,3,175-100-175-175-175,,,,,,,,,,,,
171,,1000000,green_fruit,5,purple_fruit,5,red_fruit,5,yellow_fruit,6,epic_fruit,2,235-175-175-175-175,,,,,,,,,,,,
172,UR,1000000,green_fruit,5,purple_fruit,5,blue_fruit,5,yellow_fruit,5,elder_fruit,1,,,,,,,,,,,,,
