ID,LevelFormat,TrueXPCost,TrueMaterial1,TrueMaterialCount1,TrueMaterial2,TrueMaterialCount2,TrueMaterial3,TrueMaterialCount3,TrueMaterial4,TrueMaterialCount4,TrueMaterial5,TrueMaterialCount5,TalentNP,UltraXPCost,UltraMaterial1,UltraMaterialCount1,UltraMaterial2,UltraMaterialCount2,UltraMaterial3,UltraMaterialCount3,UltraMaterial4,UltraMaterialCount4,UltraMaterial5,UltraMaterialCount5,UltraTalentNP
0,Cat,,,,,,,,,,,,,,,,,,,,,,,,
1,Tank,,,,,,,,,,,,,,,,,,,,,,,,
2,Axe,,,,,,,,,,,,,,,,,,,,,,,,
3,Gross,,,,,,,,,,,,,,,,,,,,,,,,
4,Cow,,,,,,,,,,,,,,,,,,,,,,,,
5,Bird,,,,,,,,,,,,,,,,,,,,,,,,
6,Fish,,,,,,,,,,,,,,,,,,,,,,,,
7,Lizard,,,,,,,,,,,,,,,,,,,,,,,,
8,Titan,,,,,,,,,,,,,,,,,,,,,,,,
9,Actress,,,,,,,,,,,,165-75-125-125-125,,,,,,,,,,,,
10,KungFu,,,,,,,,,,,,165-75-75-125-125,,,,,,,,,,,,
11,Mr,,,,,,,,,,,,215-75-75-125-125,,,,,,,,,,,,
12,Bondage,,,,,,,,,,,,165-165-75-125-125,,,,,,,,,,,,
13,Dom,,,,,,,,,,,,165-75-125-125-125,,,,,,,,,,,,
14,CatBox,,,,,,,,,,,,75-75-125-125-125,,,,,,,,,,,,
15,Skirt,,,,,,,,,,,,215-75-125-125-125,,,,,,,,,,,,
16,Moneko,500000,red_seed,3,blue_seed,3,yellow_seed,3,epic_seed,1,gold_seed,1,,,,,,,,,,,,,
17,Tricycle,,,,,,,,,,,,,,,,,,,,,,,,
18,Ninja,,,,,,,,,,,,75-165-125-125-125,,,,,,,,,,,,
19,Zombie,,,,,,,,,,,,165-125-125-125-125,,,,,,,,,,,,
20,Samurai,,,,,,,,,,,,165-165-125-125-125,,,,,,,,,,,,
21,Sumo,,,,,,,,,,,,75-75-75-125-125,,,,,,,,,,,,
22,Boogie,,,,,,,,,,,,125-75-125-125-125,,,,,,,,,,,,
23,Skirt,,,,,,,,,,,,125-75-215-125-125,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,,,,,,,,,,
25,Bahamut,,,,,,,,,,,,,,,,,,,,,,,,
26,Kerihime,,,,,,,,,,,,,,,,,,,,,,,,
27,Kerihime,,,,,,,,,,,,,,,,,,,,,,,,
28,Capsule,,,,,,,,,,,,,,,,,,,,,,,,
29,P2WCat,,,,,,,,,,,,,,,,,,,,,,,,
